id,artist_names,track_name,source,key,mode,time_signature,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo,duration_ms,weeks_on_chart,streams,cover_url,cover_url_md,album_name,release_date,spotify_url,preview_url,popularity
00ko9WaS4jOX1kEk3gvHjf,"Chance the Rapper, MadeinTYO, DaBaby",Hot Shower,Chance the Rapper,A,Major,4 beats,0.899,0.509,0.387,0.00157,0.0,0.0573,0.599,-8.04,150.001,225924,4,22273873,https://i.scdn.co/image/ab67616d0000b273a2a8b029b103df0e90724ad5,https://i.scdn.co/image/ab67616d00001e02a2a8b029b103df0e90724ad5,The Big Day,2019-07-26,https://open.spotify.com/track/00ko9WaS4jOX1kEk3gvHjf,,1.0
00lNx0OcTJrS3MKHcB80HY,"Jax Jones, RAYE",You Don't Know Me (feat. RAYE),Polydor Records,B,Minor,4 beats,0.876,0.669,0.138,0.163,0.0,0.185,0.682,-6.054,124.007,213947,36,256587576,https://i.scdn.co/image/ab67616d0000b273dd05a1716e2f07a07b8ccfe3,https://i.scdn.co/image/ab67616d00001e02dd05a1716e2f07a07b8ccfe3,You Don't Know Me,2016-12-09,https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY,,0.0
00rxTS5TKv3oXpDA6nWfBi,"KZA Produções, wonda",Maria Mariah,wonda & oclody,B,Minor,4 beats,0.648,0.873,0.334,0.194,5.13e-06,0.291,0.776,-0.56,130.003,118154,2,19220630,https://i.scdn.co/image/ab67616d0000b273cf11cdefcfafc03f7593419b,https://i.scdn.co/image/ab67616d00001e02cf11cdefcfafc03f7593419b,Maria Mariah,2023-11-17,https://open.spotify.com/track/00rxTS5TKv3oXpDA6nWfBi,,0.0
00syWkRGIVQvYsg2OwfBUw,Zach Bryan,East Side of Sorrow,Warner Records,A#/Bb,Major,4 beats,0.408,0.607,0.0391,0.236,8.02e-05,0.0972,0.169,-7.463,144.136,209320,1,10150926,https://i.scdn.co/image/ab67616d0000b2733bd1de7368f5f1efd1d787b3,https://i.scdn.co/image/ab67616d00001e023bd1de7368f5f1efd1d787b3,Zach Bryan,2023-08-25,https://open.spotify.com/track/00syWkRGIVQvYsg2OwfBUw,,74.0
017PF4Q3l4DBUiWoXk4OWT,Dua Lipa,Break My Heart,Warner Records,E,Minor,4 beats,0.73,0.729,0.0884,0.167,1.39e-06,0.349,0.467,-3.434,113.011,221820,65,678936475,https://i.scdn.co/image/ab67616d0000b273c88bae7846e62a8ba59ee0bd,https://i.scdn.co/image/ab67616d00001e02c88bae7846e62a8ba59ee0bd,Future Nostalgia,2020-03-27,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,,79.0
01DOm09B2AbiTARAbXVI6g,"ScHoolboy Q, Travis Scott",CHopstix (feat. Travis Scott),Top Dawg Entertainment/Interscope Records,A,Minor,4 beats,0.958,0.6,0.118,0.0391,0.0,0.274,0.607,-6.996,127.933,181153,2,11037789,https://i.scdn.co/image/ab67616d0000b273189dca608b55cf5be80243b6,https://i.scdn.co/image/ab67616d00001e02189dca608b55cf5be80243b6,CHopstix (with Travis Scott),2019-04-08,https://open.spotify.com/track/01DOm09B2AbiTARAbXVI6g,,0.0
01K4zKU104LyJ8gMb7227B,"Taylor Swift, Phoebe Bridgers",Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Taylor Swift,C,Major,4 beats,0.606,0.377,0.0275,0.817,0.0,0.154,0.446,-9.455,101.96,258813,2,22729805,https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,https://i.scdn.co/image/ab67616d00001e02318443aab3531a0558e79a4d,Red (Taylor's Version),2021-11-12,https://open.spotify.com/track/01K4zKU104LyJ8gMb7227B,,69.0
01Qb6dN5suQNu87VJ1mIpf,Lil Tecca,Did It Again,Republic Records,C#/Db,Major,4 beats,0.699,0.575,0.159,0.218,0.0,0.112,0.234,-9.922,148.767,116240,2,10628742,https://i.scdn.co/image/ab67616d0000b273942434cbd603018b706241ed,https://i.scdn.co/image/ab67616d00001e02942434cbd603018b706241ed,Did It Again,2019-07-24,https://open.spotify.com/track/01Qb6dN5suQNu87VJ1mIpf,,0.0
01TnVDiet1DFTsyWKUKovl,XXXTENTACION,NUMB,"Bad Vibes Forever, LLC",B,Minor,4 beats,0.414,0.416,0.0251,0.1,0.179,0.131,0.196,-8.024,159.91,186268,10,58613459,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,https://i.scdn.co/image/ab67616d00001e02806c160566580d6335d1f16c,?,2018-03-16,https://open.spotify.com/track/01TnVDiet1DFTsyWKUKovl,,76.0
01dmH2IPkrLNWIMPNXlreE,BTS,Paradise,BIGHIT MUSIC,F,Major,4 beats,0.519,0.828,0.365,0.214,0.0,0.0571,0.929,-5.523,139.413,211224,1,5560683,https://i.scdn.co/image/ab67616d0000b27321108e396b83d171cc5c2692,https://i.scdn.co/image/ab67616d00001e0221108e396b83d171cc5c2692,Love Yourself 轉 'Tear',2018-05-18,https://open.spotify.com/track/01dmH2IPkrLNWIMPNXlreE,,0.0
01hEpx8jnOG4q7nDK14Rhi,sangiovanni,malibu,Universal Music Italia srL. (Sugar),G,Minor,4 beats,0.733,0.736,0.111,0.028,0.0,0.131,0.669,-5.123,147.897,166216,8,52348105,https://i.scdn.co/image/ab67616d0000b273e0185989102fa989c915910d,https://i.scdn.co/image/ab67616d00001e02e0185989102fa989c915910d,sangiovanni,2021-05-13,https://open.spotify.com/track/01hEpx8jnOG4q7nDK14Rhi,,51.0
01k24g94i1JvkFLQmVEdCd,Olly Alexander (Years & Years),If You're Over Me,Polydor Records,G#/Ab,Major,4 beats,0.647,0.853,0.0904,0.0615,0.0,0.062,0.618,-4.516,103.846,189000,5,22679910,https://i.scdn.co/image/ab67616d0000b273bdee2903ac46df0b47cd0086,https://i.scdn.co/image/ab67616d00001e02bdee2903ac46df0b47cd0086,If You're Over Me,2018-05-10,https://open.spotify.com/track/01k24g94i1JvkFLQmVEdCd,,45.0
01ppKlDRCmPpusO3yNrSRY,"Bad Bunny, Luar La L",TELEFONO NUEVO,Rimas Entertainment LLC,D,Major,4 beats,0.619,0.619,0.491,0.407,0.0,0.0932,0.393,-6.238,125.752,354784,2,31249185,https://i.scdn.co/image/ab67616d0000b2732ea1f035463d11e1fc3b193d,https://i.scdn.co/image/ab67616d00001e022ea1f035463d11e1fc3b193d,nadie sabe lo que va a pasar mañana,2023-10-13,https://open.spotify.com/track/01ppKlDRCmPpusO3yNrSRY,,74.0
01qFKNWq73UfEslI0GvumE,"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),BIGHIT MUSIC,C#/Db,Major,4 beats,0.853,0.824,0.103,0.0322,0.0,0.0859,0.888,-3.287,108.044,201812,24,412798895,https://i.scdn.co/image/ab67616d0000b27399583bb32b47e87d55c6064b,https://i.scdn.co/image/ab67616d00001e0299583bb32b47e87d55c6064b,3D : The Remixes,2023-10-02,https://open.spotify.com/track/01qFKNWq73UfEslI0GvumE,,75.0
01uk7IzZyFNfQTDBXxx6NB,Sam Smith,One Last Song,Capitol,C#/Db,Major,3 beats,0.672,0.53,0.0284,0.367,0.0,0.321,0.485,-6.43,103.326,192922,2,11063179,https://i.scdn.co/image/ab67616d0000b273005cd7d0ae87b081601f6cca,https://i.scdn.co/image/ab67616d00001e02005cd7d0ae87b081601f6cca,The Thrill Of It All (Special Edition),2017-11-03,https://open.spotify.com/track/01uk7IzZyFNfQTDBXxx6NB,,56.0
01vR5Z7AHinp9D2wu2BNQS,RIN,UP IN SMOKE,GOLD LEAGUE/DIVISION,E,Minor,4 beats,0.791,0.663,0.153,0.235,2.13e-05,0.117,0.314,-5.655,77.494,174600,1,5126611,https://i.scdn.co/image/ab67616d0000b273152320403b2c0dbcb7c593c8,https://i.scdn.co/image/ab67616d00001e02152320403b2c0dbcb7c593c8,UP IN SMOKE,2019-08-30,https://open.spotify.com/track/01vR5Z7AHinp9D2wu2BNQS,,42.0
01vv2AjxgP4uUyb8waYO5Y,Twenty One Pilots,Morph,Fueled By Ramen,G#/Ab,Minor,4 beats,0.734,0.607,0.0806,0.0747,0.000577,0.0968,0.518,-7.249,90.023,258853,2,12618211,https://i.scdn.co/image/ab67616d0000b273d1d301e737da4324479c6660,https://i.scdn.co/image/ab67616d00001e02d1d301e737da4324479c6660,Trench,2018-10-05,https://open.spotify.com/track/01vv2AjxgP4uUyb8waYO5Y,,64.0
01z2fBGB8Hl3Jd3zXe4IXR,Mac Miller,Come Back to Earth,Warner Records,D,Minor,4 beats,0.272,0.238,0.0349,0.89,0.00925,0.275,0.119,-12.148,83.507,161840,1,5713873,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534,https://i.scdn.co/image/ab67616d00001e02175c577a61aa13d4fb4b6534,Swimming,2018-08-03,https://open.spotify.com/track/01z2fBGB8Hl3Jd3zXe4IXR,,80.0
020wG4EHTwBy5h2rbpxqvK,"Marracash, thasup, Sfera Ebbasta",SUPREME - L'ego,Universal Music Italia srL.,A,Major,4 beats,0.656,0.661,0.0602,0.0686,0.0,0.125,0.509,-5.888,140.956,223045,2,10401867,https://i.scdn.co/image/ab67616d0000b27381e37136987fde22d16d4852,https://i.scdn.co/image/ab67616d00001e0281e37136987fde22d16d4852,Persona,2019-10-31,https://open.spotify.com/track/020wG4EHTwBy5h2rbpxqvK,,0.0
021lWIHJrURZrmvYQ1xcM8,"Future, Lil Uzi Vert",All Bad (feat. Lil Uzi Vert),Epic/Freebandz,F#/Gb,Minor,4 beats,0.931,0.667,0.318,0.0144,0.0,0.15,0.667,-7.043,142.039,207739,1,6194224,https://i.scdn.co/image/ab67616d0000b2737459c852e9479c56eceae52a,https://i.scdn.co/image/ab67616d00001e027459c852e9479c56eceae52a,High Off Life,2020-05-15,https://open.spotify.com/track/021lWIHJrURZrmvYQ1xcM8,,54.0
0247StOpd3AkeBQzANX4Zf,Band Aid,Do They Know It's Christmas? - 1984 Version,EMI,C,Major,4 beats,0.599,0.642,0.0363,0.164,3.33e-05,0.0992,0.349,-6.936,115.412,222533,26,245198355,https://i.scdn.co/image/ab67616d0000b2732f77772e5c981e44fc347e22,https://i.scdn.co/image/ab67616d00001e022f77772e5c981e44fc347e22,Do They Know It's Christmas?,2004-01-01,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf,,54.0
02FaKXXL7KUtRc7K0k54tL,Katy Perry,Cozy Little Christmas,Capitol Records,G,Major,4 beats,0.774,0.608,0.128,0.128,0.0,0.0895,0.56,-6.264,137.494,182521,2,12910536,https://i.scdn.co/image/ab67616d0000b273b24ac6c9632013d83ee90876,https://i.scdn.co/image/ab67616d00001e02b24ac6c9632013d83ee90876,Cozy Little Christmas,2018-11-15,https://open.spotify.com/track/02FaKXXL7KUtRc7K0k54tL,,61.0
02LZ1fGJE8fB56yTlCVMEV,"Iggy Azalea, Anitta",Switch,Def Jam Recordings,B,Minor,4 beats,0.914,0.624,0.0531,0.00348,0.00389,0.395,0.346,-6.112,109.977,189600,1,3934056,https://i.scdn.co/image/ab67616d0000b2737bd4571422d36c240e3e40cf,https://i.scdn.co/image/ab67616d00001e027bd4571422d36c240e3e40cf,Switch,2017-05-19,https://open.spotify.com/track/02LZ1fGJE8fB56yTlCVMEV,,0.0
02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,B,Major,4 beats,0.761,0.525,0.0944,0.44,6.7e-06,0.0921,0.531,-6.9,80.87,238805,120,2265473708,https://i.scdn.co/image/ab67616d0000b2739e495fb707973f3390850eea,https://i.scdn.co/image/ab67616d00001e029e495fb707973f3390850eea,Dreamland (+ Bonus Levels),2020-08-06,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx,,9.0
02RCbjb9czvQKNGBmEmWob,Lil Baby,Woah,Quality Control/Motown Records,B,Major,4 beats,0.883,0.599,0.248,0.0177,0.0,0.179,0.413,-5.551,142.976,183011,21,31573174,https://i.scdn.co/image/ab67616d0000b273f46a9ad551acbdab8f72fd89,https://i.scdn.co/image/ab67616d00001e02f46a9ad551acbdab8f72fd89,My Turn,2020-02-28,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob,,66.0
02VBYrHfVwfEWXk5DXyf0T,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,Aftermath Entertainment/Atlantic,F,Major,4 beats,0.586,0.616,0.0324,0.182,0.0,0.0927,0.719,-7.964,148.088,242096,63,63112934,https://i.scdn.co/image/ab67616d0000b2731756c2022529aacfa98d2eb8,https://i.scdn.co/image/ab67616d00001e021756c2022529aacfa98d2eb8,An Evening With Silk Sonic,2021-11-11,https://open.spotify.com/track/02VBYrHfVwfEWXk5DXyf0T,,84.0
02WacdrRpm4zlP8H7X6bnQ,Calum Scott,Dancing On My Own,Capitol Records (US1A),C#/Db,Major,4 beats,0.608,0.174,0.0332,0.851,1.92e-05,0.0855,0.193,-8.796,112.175,260004,9,31768840,https://i.scdn.co/image/ab67616d0000b2731867ffdead655859c87dacc2,https://i.scdn.co/image/ab67616d00001e021867ffdead655859c87dacc2,Dancing On My Own,2016-06-03,https://open.spotify.com/track/02WacdrRpm4zlP8H7X6bnQ,,0.0
02itaCXOdC54J0ISjqqFAp,"R3HAB, A Touch Of Class",All Around The World (La La La),Virgin,A,Minor,4 beats,0.733,0.859,0.033,0.479,0.0645,0.105,0.52,-5.03,124.948,147840,15,104395994,https://i.scdn.co/image/ab67616d0000b2738ddd20bf644f1d50adafad7b,https://i.scdn.co/image/ab67616d00001e028ddd20bf644f1d50adafad7b,All Around The World (La La La),2019-04-05,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp,,70.0
02jLfqc9gMo8PkHEGHY3OT,Feid,Si Te La Encuentras Por Ahí,UMLE - Latino,G#/Ab,Minor,4 beats,0.743,0.576,0.076,0.151,5.87e-05,0.128,0.455,-3.552,171.945,191573,5,39023638,https://i.scdn.co/image/ab67616d0000b27397e6e8981e68ec933eec4c37,https://i.scdn.co/image/ab67616d00001e0297e6e8981e68ec933eec4c37,Si Te La Encuentras Por Ahí,2022-08-05,https://open.spotify.com/track/02jLfqc9gMo8PkHEGHY3OT,,59.0
02kDW379Yfd5PzW5A6vuGt,"Internet Money, Gunna, Don Toliver, NAV",Lemonade (feat. NAV),Internet Money Records / TenThousand Projects,C#/Db,Minor,4 beats,0.799,0.66,0.079,0.256,0.0,0.111,0.471,-6.153,140.04,195429,2,19804278,https://i.scdn.co/image/ab67616d0000b273d46a8fffbe6c8630784f04da,https://i.scdn.co/image/ab67616d00001e02d46a8fffbe6c8630784f04da,"Lemonade (feat. Gunna, Don Toliver & NAV)",2020-08-14,https://open.spotify.com/track/02kDW379Yfd5PzW5A6vuGt,,3.0
02wk5BttM0QL38ERjLPQJB,NewJeans,Cool With You,ADOR,F,Minor,4 beats,0.752,0.65,0.12,0.653,0.00136,0.105,0.532,-6.683,134.993,147880,3,34474786,https://i.scdn.co/image/ab67616d0000b2730744690248ef3ba7b776ea7b,https://i.scdn.co/image/ab67616d00001e020744690248ef3ba7b776ea7b,NewJeans 2nd EP 'Get Up',2023-07-21,https://open.spotify.com/track/02wk5BttM0QL38ERjLPQJB,,72.0
0314PeD1sQNonfVWix3B2K,"Beyoncé, BEAM",ENERGY (feat. Beam),Parkwood Entertainment/Columbia,C#/Db,Major,4 beats,0.903,0.519,0.26,0.281,0.000106,0.155,0.587,-9.151,114.991,116727,2,18328362,https://i.scdn.co/image/ab67616d0000b27369a3c061676c2020adfe8315,https://i.scdn.co/image/ab67616d00001e0269a3c061676c2020adfe8315,RENAISSANCE,2022-07-29,https://open.spotify.com/track/0314PeD1sQNonfVWix3B2K,,64.0
033if6Adj8fwBYsQzHOfQ8,"Capital Bra, Samra",100k Cash,Bra Musik,A#/Bb,Major,4 beats,0.701,0.714,0.524,0.289,0.0,0.0883,0.604,-5.906,86.91,173353,1,5192813,https://i.scdn.co/image/ab67616d0000b2730fb98f7a7aa0780ac886b01d,https://i.scdn.co/image/ab67616d00001e020fb98f7a7aa0780ac886b01d,100k Cash,2020-02-27,https://open.spotify.com/track/033if6Adj8fwBYsQzHOfQ8,,41.0
03B2SfXuvDh1m9F4tqrX07,Sabrina Carpenter,Skin,Island Records,G,Major,4 beats,0.557,0.457,0.0335,0.428,0.0,0.0567,0.328,-5.372,105.918,177500,5,37080517,https://i.scdn.co/image/ab67616d0000b2732b2473f0d8c4ea75d62fba09,https://i.scdn.co/image/ab67616d00001e022b2473f0d8c4ea75d62fba09,Skin,2021-01-22,https://open.spotify.com/track/03B2SfXuvDh1m9F4tqrX07,,64.0
03LfOYi0icz4souspZVVhq,"Bizarrap, Nicky Jam","Nicky Jam: Bzrp Music Sessions, Vol. 41",DALE PLAY Records,C#/Db,Minor,4 beats,0.627,0.849,0.153,0.0913,0.0,0.145,0.818,-3.167,89.907,158087,8,80154473,https://i.scdn.co/image/ab67616d0000b2730b1950b4341f9e72b9041385,https://i.scdn.co/image/ab67616d00001e020b1950b4341f9e72b9041385,"Nicky Jam: Bzrp Music Sessions, Vol. 41/66",2021-06-30,https://open.spotify.com/track/03LfOYi0icz4souspZVVhq,,59.0
03NqHNdG3Ur6kciQWK6e8V,"Camila Cabello, Myke Towers, Tainy",Oh Na Na,Epic,C,Major,4 beats,0.744,0.862,0.0622,0.0715,5.58e-06,0.0889,0.688,-3.446,115.021,203653,1,5412180,https://i.scdn.co/image/ab67616d0000b2731b1569ecd0e5241c52266613,https://i.scdn.co/image/ab67616d00001e021b1569ecd0e5241c52266613,Oh Na Na,2021-10-29,https://open.spotify.com/track/03NqHNdG3Ur6kciQWK6e8V,,51.0
03T4ttRCiLXST6MZjeMwmR,Coldplay,Orphans,Parlophone UK,B,Minor,4 beats,0.503,0.808,0.0451,0.0258,0.00149,0.557,0.282,-5.051,107.973,197533,6,12415244,https://i.scdn.co/image/ab67616d0000b273722d16eb3b31fae9cb1d2ada,https://i.scdn.co/image/ab67616d00001e02722d16eb3b31fae9cb1d2ada,Everyday Life,2019-11-22,https://open.spotify.com/track/03T4ttRCiLXST6MZjeMwmR,,62.0
03eJ2DclFWXYU8GWgANdmZ,"XXXTENTACION, PnB Rock, Trippie Redd",bad vibes forever (feat. PnB Rock & Trippie Redd),Bad Vibes Forever / EMPIRE,G#/Ab,Major,4 beats,0.8,0.526,0.0716,0.334,0.00174,0.0571,0.746,-5.153,129.874,150475,2,7148151,https://i.scdn.co/image/ab67616d0000b273fa96fd3251629605bb59345d,https://i.scdn.co/image/ab67616d00001e02fa96fd3251629605bb59345d,Bad Vibes Forever,2019-12-06,https://open.spotify.com/track/03eJ2DclFWXYU8GWgANdmZ,,71.0
03fs6oV5JAlbytRYf3371S,Morgan Wallen,Everything I Love,Big Loud Records / Mercury Records / Republic Records,G#/Ab,Major,4 beats,0.568,0.841,0.0261,0.00514,0.000503,0.147,0.668,-3.802,103.983,187047,1,9920740,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,https://i.scdn.co/image/ab67616d00001e02705079df9a25a28b452c1fc9,One Thing At A Time,2023-03-03,https://open.spotify.com/track/03fs6oV5JAlbytRYf3371S,,4.0
03hqMhmCZiNKMSPmVabPLP,"Lana Del Rey, A$AP Rocky",Groupie Love (feat. A$AP Rocky),Polydor Records,A,Major,4 beats,0.359,0.6,0.0398,0.113,1.32e-06,0.0952,0.195,-7.317,175.894,264038,1,3685086,https://i.scdn.co/image/ab67616d0000b27395e2fd1accb339fa14878190,https://i.scdn.co/image/ab67616d00001e0295e2fd1accb339fa14878190,Lust For Life,2017-07-21,https://open.spotify.com/track/03hqMhmCZiNKMSPmVabPLP,,64.0
03iCbZaM4OkRR4We6wIzvx,"BTS, Nicki Minaj",IDOL,BIGHIT MUSIC,A,Major,4 beats,0.709,0.857,0.0881,0.00219,0.0,0.103,0.446,-3.394,126.038,260234,4,22192073,https://i.scdn.co/image/ab67616d0000b2736feb6d9ed7891f40e9a524dd,https://i.scdn.co/image/ab67616d00001e026feb6d9ed7891f40e9a524dd,Love Yourself 結 'Answer',2018-08-24,https://open.spotify.com/track/03iCbZaM4OkRR4We6wIzvx,,0.0
03mMSLEJCPoGJwQhHpN5y0,Harry Styles,Treat People With Kindness,Columbia,F,Major,4 beats,0.653,0.869,0.0382,0.128,2.2e-05,0.046,0.697,-3.725,122.017,197347,1,7800929,https://i.scdn.co/image/ab67616d0000b27325180571abce9472f61bd722,https://i.scdn.co/image/ab67616d00001e0225180571abce9472f61bd722,Fine Line,2019-12-13,https://open.spotify.com/track/03mMSLEJCPoGJwQhHpN5y0,,0.0
03rwnftfgpYVO6QDWOZcG6,Drake,Drew A Picasso,OVO/Republic,G,Major,4 beats,0.707,0.334,0.244,0.375,0.0,0.17,0.143,-12.792,127.944,262769,1,12574912,https://i.scdn.co/image/ab67616d0000b2737d384516b23347e92a587ed1,https://i.scdn.co/image/ab67616d00001e027d384516b23347e92a587ed1,For All The Dogs,2023-10-06,https://open.spotify.com/track/03rwnftfgpYVO6QDWOZcG6,,0.0
03vyB3AHCuEGfhh7wPc7Yf,Shawn Mendes,When You're Ready,Island Records,F,Major,4 beats,0.49,0.473,0.129,0.792,0.0,0.113,0.603,-8.887,171.535,169587,1,4203767,https://i.scdn.co/image/ab67616d0000b2733a2178ae7cf4e68cad643f7e,https://i.scdn.co/image/ab67616d00001e023a2178ae7cf4e68cad643f7e,Shawn Mendes,2018-05-25,https://open.spotify.com/track/03vyB3AHCuEGfhh7wPc7Yf,,0.0
03wOsqNRdFZAgwo708sjw2,Lana Del Rey,Say Yes To Heaven,Polydor Records,F#/Gb,Minor,4 beats,0.497,0.359,0.0259,0.749,0.0923,0.117,0.179,-11.532,99.922,209156,3,16404321,https://i.scdn.co/image/ab67616d0000b2736f4be5fb9cf4874c1899f4f1,https://i.scdn.co/image/ab67616d00001e026f4be5fb9cf4874c1899f4f1,Say Yes To Heaven (sim0ne & Melo Nada Remix),2023-05-20,https://open.spotify.com/track/03wOsqNRdFZAgwo708sjw2,,0.0
03x2rVJRFUrvwlfxoHd9Mo,Tom Walker,Just You and I,Relentless Records,A,Major,4 beats,0.567,0.696,0.301,0.456,0.0,0.113,0.544,-5.416,92.061,174983,10,59898803,https://i.scdn.co/image/ab67616d0000b273cc75e30610b0d39cd02cfaae,https://i.scdn.co/image/ab67616d00001e02cc75e30610b0d39cd02cfaae,What a Time To Be Alive,2019-03-01,https://open.spotify.com/track/03x2rVJRFUrvwlfxoHd9Mo,,0.0
